proteinA	proteinB
id_1412	id_940
id_1876	id_231
id_1747	id_830
id_497	id_1176
id_2419	id_2459
id_1651	id_2667
id_5	id_520
id_518	id_188
id_286	id_856
id_1490	id_875
id_2398	id_1414
id_2743	id_102
id_2334	id_1675
id_522	id_198
id_266	id_1738
id_1163	id_1731
id_2789	id_1202
id_774	id_1218
id_86	id_1084
id_1496	id_2436
id_1470	id_2141
id_2256	id_116
id_630	id_113
id_1829	id_722
id_917	id_322
id_1434	id_1139
id_1043	id_424
id_1326	id_1303
id_1286	id_113
id_2397	id_1218
id_1222	id_472
id_1830	id_1507
id_2083	id_2549
id_2088	id_2549
id_1071	id_1665
id_796	id_652
id_2487	id_1295
id_2309	id_2695
id_2717	id_1724
id_2308	id_131
id_2832	id_1562
id_2289	id_2312
id_1571	id_307
id_2419	id_2377
id_1392	id_2474
id_2395	id_2329
id_924	id_1721
id_1412	id_738
id_1195	id_1353
id_768	id_1644
id_1287	id_1116
id_736	id_1675
id_2355	id_1414
id_303	id_203
id_1566	id_144
id_1069	id_1236
id_2680	id_2711
id_2355	id_231
id_619	id_103
id_2101	id_26
id_2355	id_1221
id_2371	id_2436
id_1853	id_2798
id_212	id_2638
id_1282	id_1464
id_2679	id_2257
id_2361	id_2075
id_1561	id_2613
id_2506	id_322
id_461	id_151
id_2308	id_2368
id_1043	id_738
id_2501	id_2226
id_841	id_2480
id_2470	id_575
id_623	id_621
id_2419	id_283
id_1561	id_369
id_1839	id_2391
id_1561	id_2559
id_2309	id_2549
id_5	id_472
id_90	id_2075
id_2601	id_1139
id_5	id_2737
id_831	id_1116
id_112	id_198
id_837	id_2559
id_1470	id_534
id_2175	id_1414
id_1394	id_77
id_719	id_2257
id_1948	id_2163
id_736	id_307
id_2743	id_298
id_679	id_2173
id_1071	id_2115
id_225	id_2798
id_1688	id_2257
id_236	id_1161
id_2760	id_1834
id_1871	id_1917
id_2694	id_2389
id_2395	id_2037
id_1830	id_283
id_161	id_667
id_2397	id_198
id_363	id_1740
id_1287	id_2600
id_2818	id_2364
id_898	id_254
id_758	id_846
id_2323	id_735
id_2371	id_18
id_611	id_2805
id_1480	id_1414
id_981	id_784
id_623	id_940
id_2530	id_1749
id_189	id_170
id_189	id_253
id_2275	id_996
id_1198	id_2701
id_2283	id_968
id_2708	id_1366
id_737	id_1426
id_1412	id_609
id_2283	id_53
id_1239	id_1116
id_624	id_103
id_1807	id_103
id_2610	id_2001
id_86	id_2257
id_2106	id_1464
id_461	id_254
id_2109	id_918
id_774	id_1725
id_710	id_1868
id_155	id_1468
id_1470	id_1011
id_2283	id_2464
id_417	id_2320
id_1326	id_2723
id_286	id_773
id_2365	id_1725
id_139	id_77
id_205	id_1271
id_984	id_851
id_2106	id_982
id_649	id_1419
id_2273	id_142
id_2404	id_1749
id_462	id_36
id_1747	id_936
id_619	id_2025
id_2363	id_371
id_223	id_1685
id_2088	id_687
id_1490	id_1983
id_2237	id_1892
id_1490	id_1665
id_2335	id_1507
id_880	id_2421
id_1362	id_1698
id_303	id_2001
id_597	id_722
id_2106	id_322
id_2689	id_2141
id_522	id_1926
id_1201	id_2301
id_1948	id_738
id_1480	id_936
id_1075	id_2464
id_161	id_2173
id_76	id_1912
id_1860	id_1702
id_157	id_2834
id_1480	id_1758
id_984	id_784
id_1861	id_2464
id_156	id_1749
id_155	id_1930
id_1920	id_1484
id_5	id_1750
id_1067	id_1266
id_629	id_567
id_2101	id_2638
id_2109	id_1926
id_2395	id_1886
id_303	id_2784
id_1201	id_2784
id_2487	id_693
id_1876	id_2757
id_2170	id_1654
id_2237	id_1685
id_2601	id_1892
id_949	id_693
id_2106	id_446
id_2395	id_851
id_486	id_231
id_758	id_143
id_1998	id_2737
id_2106	id_1749
id_1948	id_2001
id_294	id_1943
id_2150	id_2464
id_1561	id_1449
id_305	id_2313
id_1323	id_2118
id_1126	id_402
id_1571	id_1139
id_794	id_598
id_1186	id_687
id_2127	id_231
id_497	id_2389
id_1244	id_1303
id_265	id_2377
id_2289	id_534
id_1123	id_1132
id_2636	id_582
id_1069	id_830
id_2371	id_1504
id_1392	id_875
id_1876	id_940
id_839	id_103
id_2743	id_2320
id_2220	id_143
id_2155	id_1504
id_205	id_2436
id_1807	id_472
id_1357	id_231
id_1952	id_2251
id_2323	id_567
id_1643	id_939
id_1069	id_1256
id_1961	id_1486
id_282	id_1562
id_1151	id_1233
id_1162	id_466
id_2327	id_2745
id_2506	id_534
id_1029	id_1562
id_978	id_1724
id_2827	id_940
id_879	id_298
id_1998	id_846
id_827	id_2389
id_1807	id_2093
id_1490	id_77
id_235	id_170
id_682	id_2092
id_757	id_2798
id_223	id_1892
id_844	id_77
id_5	id_1527
id_2470	id_1987
id_1837	id_71
id_2334	id_449
id_879	id_1011
id_660	id_1295
id_1248	id_1504
id_2309	id_2686
id_985	id_2464
id_1287	id_968
id_1412	id_687
id_1747	id_791
id_893	id_1721
id_215	id_2775
id_2170	id_421
id_827	id_1134
id_417	id_2744
id_2355	id_2531
id_156	id_2436
id_794	id_1387
id_1829	id_2488
id_2487	id_973
id_2083	id_1409
id_1643	id_936
id_2503	id_1930
id_2334	id_131
id_757	id_1976
id_2348	id_1364
id_2371	id_1303
id_2309	id_188
id_978	id_1930
id_1286	id_1774
id_1747	id_2744
id_363	id_1750
id_1026	id_435
id_161	id_2260
id_719	id_401
id_1157	id_973
id_2508	id_439
id_649	id_990
id_796	id_940
id_1282	id_2173
id_1845	id_2576
id_76	id_1340
id_225	id_652
id_758	id_851
id_150	id_2311
id_2388	id_528
id_97	id_1202
id_2083	id_793
id_908	id_2714
id_1945	id_2775
id_917	id_1161
id_1392	id_71
id_2630	id_2312
id_286	id_2787
id_2636	id_70
id_305	id_1931
id_796	id_1983
id_978	id_2108
id_1071	id_567
id_1993	id_1233
id_2508	id_676
id_2694	id_1504
id_384	id_528
id_2228	id_2033
id_611	id_1233
id_2228	id_188
id_303	id_2380
id_2304	id_2252
id_570	id_1011
id_515	id_652
id_1853	id_2675
id_2155	id_738
id_2397	id_1127
id_827	id_446
id_2326	id_1127
id_1853	id_2664
id_2679	id_170
id_2326	id_940
id_1186	id_820
id_1071	id_1527
id_1069	id_2474
id_1853	id_1340
id_291	id_516
id_286	id_2512
id_1284	id_1562
id_737	id_1740
id_1948	id_1868
id_949	id_120
id_2395	id_2559
id_1942	id_1464
id_2026	id_643
id_1282	id_472
id_2397	id_738
id_2363	id_2480
id_305	id_793
id_1871	id_2025
id_1040	id_1084
id_624	id_1507
id_189	id_2001
id_2632	id_2320
id_1688	id_1654
id_1201	id_1796
id_2830	id_2163
id_1248	id_2141
id_2636	id_1758
id_2086	id_1295
id_797	id_641
id_1323	id_1504
id_1434	id_875
id_1651	id_375
id_978	id_2252
id_2483	id_1675
id_2218	id_940
id_2083	id_609
id_2360	id_160
id_2818	id_793
id_384	id_307
id_2348	id_2163
id_611	id_598
id_679	id_168
id_710	id_1750
id_294	id_2173
id_2708	id_1325
id_827	id_298
id_1876	id_434
id_2112	id_483
id_898	id_2695
id_1126	id_1409
id_225	id_738
id_841	id_620
id_86	id_2141
id_1038	id_2312
id_478	id_856
id_837	id_2163
id_1561	id_421
id_2636	id_791
id_850	id_1976
id_630	id_1724
id_629	id_425
id_1860	id_856
id_189	id_365
id_1561	id_744
id_2789	id_26
id_1800	id_2092
id_2365	id_1139
id_952	id_2667
id_2002	id_784
id_1069	id_793
id_1324	id_2075
id_893	id_160
id_2503	id_2798
id_2398	id_1355
id_1323	id_1366
id_1876	id_2130
id_2725	id_2391
id_1807	id_1527
id_1574	id_1084
id_343	id_918
id_2342	id_2551
id_1222	id_92
id_9	id_2559
id_518	id_131
id_215	id_1116
id_161	id_18
id_879	id_18
id_2770	id_2792
id_737	id_784
id_1839	id_1725
id_2259	id_446
id_779	id_2338
id_893	id_1202
id_1688	id_1834
id_343	id_2558
id_649	id_1355
id_2323	id_1834
id_236	id_1387
id_1496	id_1145
id_2002	id_2531
id_916	id_2074
id_1284	id_1702
id_1942	id_2784
id_737	id_401
id_2363	id_120
id_779	id_1103
id_146	id_676
id_2127	id_269
id_2601	id_987
id_1616	id_735
id_1239	id_1562
id_2610	id_936
id_2150	id_773
id_886	id_940
id_517	id_1413
id_1470	id_316
id_1186	id_170
id_2275	id_153
id_886	id_499
id_2196	id_143
id_215	id_2675
id_2689	id_665
id_2273	id_99
id_2530	id_2311
id_2743	id_2430
id_1755	id_401
id_2501	id_1364
id_2601	id_2675
id_2689	id_2430
id_1566	id_1834
id_2120	id_2073
id_1157	id_1329
id_171	id_2478
id_5	id_606
id_896	id_957
id_2228	id_2436
id_2304	id_151
id_827	id_1976
id_2680	id_1325
id_2467	id_1912
id_2636	id_424
id_2353	id_2763
id_898	id_233
id_837	id_1472
id_2083	id_483
id_2304	id_306
id_1860	id_2046
id_2051	id_1236
id_649	id_1530
id_2315	id_307
id_205	id_1329
id_459	id_188
id_850	id_446
id_2636	id_1930
id_682	id_851
id_585	id_253
id_704	id_621
id_2353	id_231
id_2725	id_718
id_2083	id_2492
id_580	id_424
id_1067	id_582
id_1244	id_1202
id_1996	id_1266
id_223	id_722
id_1397	id_425
id_223	id_2668
id_479	id_2073
id_2487	id_992
id_2127	id_99
id_530	id_598
id_1026	id_973
id_1201	id_1814
id_2708	id_435
id_1993	id_369
id_1323	id_1236
id_2813	id_2312
id_146	id_1794
id_112	id_2546
id_2309	id_425
id_2109	id_2033
id_570	id_26
id_630	id_151
id_2218	id_283
id_2150	id_424
id_1952	id_1743
id_2637	id_1409
id_2196	id_2459
id_1239	id_851
id_1961	id_1414
id_2106	id_2368
id_1043	id_298
id_896	id_2115
id_930	id_693
id_236	id_2474
id_1043	id_142
id_981	id_2512
id_1755	id_1976
id_2196	id_1355
id_1357	id_188
id_2818	id_254
id_9	id_973
id_1237	id_1793
id_2237	id_499
id_2120	id_231
id_1186	id_1926
id_2470	id_1912
id_1574	id_1834
id_156	id_1116
id_1412	id_2115
id_585	id_1507
id_1397	id_2599
id_879	id_1794
id_1971	id_13
id_1775	id_2252
id_215	id_1917
id_649	id_13
id_2237	id_1665
id_139	id_2320
id_1052	id_851
id_2289	id_1233
id_1115	id_1794
id_2308	id_2037
id_2334	id_2108
id_988	id_2092
id_530	id_2417
id_90	id_1743
id_985	id_822
id_2360	id_1202
id_294	id_1233
id_988	id_1413
id_9	id_2686
id_2237	id_198
id_2447	id_2784
id_2630	id_1221
id_736	id_957
id_384	id_188
id_648	id_641
id_844	id_2025
id_2827	id_1912
id_2427	id_1279
id_984	id_131
id_719	id_51
id_1317	id_233
id_1853	id_2613
id_189	id_133
id_2051	id_722
id_1571	id_918
id_1151	id_2173
id_156	id_2301
id_2175	id_2338
id_1195	id_283
id_2694	id_1987
id_2508	id_773
id_90	id_2389
id_2663	id_2337
id_2760	id_483
id_2150	id_875
id_2460	id_830
id_879	id_37
id_908	id_472
id_886	id_2046
id_2220	id_875
id_515	id_973
id_779	id_1366
id_1157	id_2115
id_1258	id_2417
id_1876	id_1012
id_161	id_2723
id_2818	id_1912
id_2334	id_2531
id_978	id_693
id_2388	id_1246
id_486	id_582
id_2051	id_1084
id_2632	id_1562
id_850	id_401
id_1287	id_1127
id_146	id_1366
id_1998	id_152
id_1839	id_77
id_2694	id_1894
id_1945	id_2549
id_779	id_1161
id_629	id_2757
id_704	id_123
id_2754	id_1912
id_2237	id_1814
id_2460	id_516
id_2175	id_1325
id_2256	id_1931
id_689	id_1445
