proteinA	proteinB
id_524	id_448
id_2029	id_197
id_1675	id_607
id_1886	id_33
id_1576	id_42
id_2329	id_251
id_392	id_2472
id_2274	id_2202
id_1919	id_1097
id_135	id_2094
id_2047	id_1239
id_2286	id_848
id_1245	id_855
id_867	id_2027
id_1265	id_1627
id_1655	id_808
id_2131	id_1962
id_524	id_2447
id_2029	id_525
id_1675	id_723
id_1886	id_690
id_1576	id_2164
id_2329	id_463
id_392	id_2422
id_2274	id_9
id_1919	id_1949
id_135	id_748
id_2357	id_440
id_2047	id_432
id_1544	id_1206
id_524	id_710
id_2029	id_2453
id_1675	id_1516
id_1886	id_944
id_1576	id_1212
id_2329	id_1238
id_392	id_2434
id_2274	id_158
id_1919	id_2022
id_135	id_767
id_2357	id_642
id_2047	id_2465
id_1544	id_1867
id_2286	id_2049
id_1245	id_76
id_867	id_1195
id_2131	id_103
id_524	id_1147
id_2029	id_2146
id_1675	id_2118
id_2329	id_1383
id_1383	id_448
id_1272	id_607
id_2118	id_33
id_2146	id_42
id_1147	id_251
id_103	id_2472
id_78	id_2202
id_1075	id_1097
id_1195	id_2094
id_76	id_259
id_2049	id_1239
id_1867	id_1728
id_2465	id_848
id_642	id_855
id_767	id_2027
id_2022	id_1627
id_158	id_808
id_2434	id_1962
id_1238	id_2447
id_1212	id_525
id_944	id_723
id_1516	id_690
id_2453	id_2164
id_710	id_463
id_1383	id_2422
id_1916	id_9
id_1272	id_1949
id_2118	id_748
id_2146	id_440
id_1147	id_432
id_103	id_1206
id_1163	id_1850
id_2393	id_415
id_532	id_1062
id_1196	id_1122
id_431	id_478
id_859	id_1392
id_2414	id_156
id_526	id_221
id_1411	id_2004
id_201	id_317
id_2373	id_1983
id_1796	id_842
id_146	id_1179
id_1569	id_1776
id_1344	id_2467
id_514	id_1366
id_1095	id_1289
id_1061	id_1898
id_2487	id_302
id_528	id_345
id_1157	id_2292
id_2261	id_649
id_444	id_1042
id_117	id_2327
id_239	id_27
id_1797	id_53
id_1749	id_1116
id_1156	id_1297
id_2474	id_651
id_796	id_1765
id_2436	id_520
id_500	id_1391
id_1125	id_1869
id_2043	id_1937
id_2105	id_264
id_1662	id_2132
id_695	id_1305
id_819	id_1120
id_1395	id_2156
id_1309	id_376
id_1484	id_1950
id_592	id_2314
id_1418	id_2370
id_426	id_2485
id_920	id_139
id_1263	id_2163
id_1223	id_1670
id_2012	id_1546
id_2299	id_2377
id_1328	id_834
id_1488	id_445
id_1575	id_1862
id_689	id_2530
id_555	id_1080
id_2153	id_541
id_1021	id_1356
id_457	id_1872
id_1374	id_2187
id_763	id_934
id_1433	id_1640
id_970	id_102
id_1163	id_1508
id_2393	id_2229
id_532	id_1193
